epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,178.613,0.83779,0.73607,0.91812,0.79929,0.79715,0.86611,0.70926,0.94897,1.34107,1.52058,0.000490728,0.000490728,0.000490728
44,181.775,0.62109,0.60776,1.13257,0.79929,0.79715,0.86611,0.70926,0.94897,1.34107,1.52058,0.000493898,0.000493898,0.000493898
45,185.668,0.96678,0.76452,1.08619,0.70457,0.95917,0.85786,0.69315,0.95012,1.30606,1.55806,0.000496672,0.000496672,0.000496672
46,188.208,0.7076,0.64493,1.07809,0.70457,0.95917,0.85786,0.69315,0.95012,1.30606,1.55806,0.00049905,0.00049905,0.00049905
47,191.199,0.97033,0.75867,1.26684,0.69674,1,0.93786,0.75716,0.91089,1.1219,1.58499,0.000501032,0.000501032,0.000501032
48,193.785,0.91008,0.65014,1.14696,0.69674,1,0.93786,0.75716,0.91089,1.1219,1.58499,0.000502618,0.000502618,0.000502618
49,196.507,0.82872,0.71371,1.21745,0.83051,0.98307,0.96167,0.75914,0.8953,1.06089,1.6131,0.000503808,0.000503808,0.000503808
50,199.184,0.8015,0.6003,1.10601,0.83051,0.98307,0.96167,0.75914,0.8953,1.06089,1.6131,0.000504602,0.000504602,0.000504602
51,202.294,0.90309,0.6693,1.13965,0.83169,0.99013,0.96167,0.73274,0.80514,0.96354,1.50537,0.000505,0.000505,0.000505
52,205.047,0.68062,0.66327,1.26853,0.83169,0.99013,0.96167,0.73274,0.80514,0.96354,1.50537,0.000505002,0.000505002,0.000505002
53,208.104,0.67525,0.64052,1.12302,0.83169,0.99013,0.96167,0.73274,0.80514,0.96354,1.50537,0.000504608,0.000504608,0.000504608
54,209.641,0.96247,0.77306,1.11686,0.83217,0.99302,0.96167,0.79072,0.72623,0.93146,1.41317,0.000503818,0.000503818,0.000503818
55,213.089,0.85457,0.58856,0.94751,0.83217,0.99302,0.96167,0.79072,0.72623,0.93146,1.41317,0.000502632,0.000502632,0.000502632
56,215.875,0.7074,0.58563,1.15427,0.83217,0.99302,0.96167,0.79072,0.72623,0.93146,1.41317,0.00050105,0.00050105,0.00050105
57,218.664,0.90062,0.8764,1.52504,0.71105,0.9864,0.89786,0.7388,0.69609,0.95435,1.39393,0.000499072,0.000499072,0.000499072
58,221.97,0.80716,0.71006,1.20447,0.71105,0.9864,0.89786,0.7388,0.69609,0.95435,1.39393,0.000496698,0.000496698,0.000496698
59,224.695,0.91681,0.64187,1.22515,0.71105,0.9864,0.89786,0.7388,0.69609,0.95435,1.39393,0.000493928,0.000493928,0.000493928
60,227.41,0.84261,0.65486,1.15767,0.7705,0.8,0.86611,0.67967,0.73958,1.01715,1.49461,0.000490762,0.000490762,0.000490762
61,230.534,0.89099,0.5879,1.0277,0.7705,0.8,0.86611,0.67967,0.73958,1.01715,1.49461,0.0004872,0.0004872,0.0004872
62,233.161,0.82974,0.56821,1.1223,0.7705,0.8,0.86611,0.67967,0.73958,1.01715,1.49461,0.000483242,0.000483242,0.000483242
63,236.067,0.64749,0.54815,1.04188,0.77167,0.8,0.82611,0.58281,0.84899,1.12439,1.61235,0.000478888,0.000478888,0.000478888
64,236.576,0.81477,0.59738,0.96468,0.77167,0.8,0.82611,0.58281,0.84899,1.12439,1.61235,0.000474138,0.000474138,0.000474138
65,239.228,0.77681,0.60604,1.07837,0.77167,0.8,0.82611,0.58281,0.84899,1.12439,1.61235,0.000468992,0.000468992,0.000468992
66,241.94,0.67091,0.81206,1.38993,0.77816,0.8,0.84,0.53997,0.82605,1.27946,1.61671,0.00046345,0.00046345,0.00046345
67,244.827,0.78415,0.55963,1.29251,0.77816,0.8,0.84,0.53997,0.82605,1.27946,1.61671,0.000457512,0.000457512,0.000457512
68,247.823,0.9158,0.64141,1.20186,0.77816,0.8,0.84,0.53997,0.82605,1.27946,1.61671,0.000451178,0.000451178,0.000451178
69,250.818,0.87127,0.65802,1.10279,0.73311,0.8,0.815,0.52647,0.76987,1.33082,1.52675,0.000444448,0.000444448,0.000444448
70,254.485,0.8655,0.54475,1.00363,0.73311,0.8,0.815,0.52647,0.76987,1.33082,1.52675,0.000437322,0.000437322,0.000437322
71,257.378,0.80958,0.59478,1.04541,0.73311,0.8,0.815,0.52647,0.76987,1.33082,1.52675,0.0004298,0.0004298,0.0004298
72,260.482,0.66421,0.62568,1.27859,0.79894,0.79577,0.82611,0.55005,0.70478,1.27155,1.4298,0.000421882,0.000421882,0.000421882
73,263.671,0.56133,0.61373,1.32747,0.79894,0.79577,0.82611,0.55005,0.70478,1.27155,1.4298,0.000413568,0.000413568,0.000413568
74,266.666,0.7016,0.64674,1.27379,0.79894,0.79577,0.82611,0.55005,0.70478,1.27155,1.4298,0.000404858,0.000404858,0.000404858
75,267.384,0.71495,0.66078,1.14019,0.77978,0.8,0.815,0.67285,0.65989,1.21145,1.37469,0.000395752,0.000395752,0.000395752
76,270.782,0.74279,0.51674,1.0344,0.77978,0.8,0.815,0.67285,0.65989,1.21145,1.37469,0.00038625,0.00038625,0.00038625
77,273.761,0.77397,0.62933,1.233,0.77978,0.8,0.815,0.67285,0.65989,1.21145,1.37469,0.000376352,0.000376352,0.000376352
78,276.813,0.98288,0.68785,1.2931,0.7946,0.8,0.815,0.67285,0.66306,1.1482,1.37228,0.000366058,0.000366058,0.000366058
79,279.646,0.64827,0.56485,1.25118,0.7946,0.8,0.815,0.67285,0.66306,1.1482,1.37228,0.000355368,0.000355368,0.000355368
80,282.848,0.72718,0.50722,1.0243,0.7946,0.8,0.815,0.67285,0.66306,1.1482,1.37228,0.000344282,0.000344282,0.000344282
